A01,7.39,8.99
A02,2.93,36.85
A03,11.52,3.87
A04,39.46,14.28
A05,17.58,-19.20
A06,355.87,5.33
A07,346.34,9.58
A08,125.40,7.00
A09,120.00,14.58
A10,319.50,-9.40
A11,311.55,-1.45
A12,100.61,14.08
A13,98.35,7.89
AAA,76.92,43.25
AAE,38.77,9.03
ABG,72.87,18.62
ABK,18.82,68.35
ADL,138.65,-34.67
AIA,295.74,-65.25
ALE,297.50,82.50
ALT,22.96,69.86
AMA,129.33,28.17
AMD,61.21,69.60
AMK,322.37,65.60
AMS,77.57,-37.80
AMU,210.13,61.24
ANC,282.85,-11.77
AND,16.03,69.30
ANT,289.76,-23.39
API,188.22,-13.80
APL,283.12,39.17
AQU,13.32,42.38
ARC,214.44,68.12
ARK,40.50,64.60
ARS,58.57,56.43
ASA,170.70,-14.28
ASB,142.17,43.46
ASC,345.62,-7.95
ASH,58.10,37.95
ASP,133.88,-23.77
ASW,32.51,23.50
ATU,306.43,67.93
B01,296.52,-64.82
B02,294.00,-66.03
B03,291.88,-67.57
B04,41.08,-68.58
B05,41.32,-69.29
B06,39.40,-69.67
B07,44.28,-70.70
B08,159.03,-72.77
B09,42.99,-74.01
B10,39.71,-77.32
B11,336.58,-77.51
B12,335.88,-79.08
B13,77.00,-80.00
B14,337.74,-80.89
B15,2.97,-81.49
B16,347.06,-82.78
B17,347.76,-82.90
B18,336.14,-84.35
B19,2.06,-85.36
B20,95.98,-85.36
B21,28.41,-87.00
B22,68.17,-86.51
B23,316.13,-88.03
B24,77.77,-71.67
B27,3.00,-81.00
BBG,14.21,78.06
BCL,105.71,9.30
BDV,14.02,49.07
BEL,20.80,51.83
BET,208.45,66.90
BFE,11.67,55.62
BFO,8.33,48.33
BGY,35.09,31.72
BIK,136.05,-1.08
BJI,116.18,40.06
BJN,19.20,74.50
BKL,102.31,-3.86
BLC,263.99,64.32
BMT,116.20,40.30
BNG,18.57,4.33
BOR,38.33,58.03
BOU,254.76,40.14
BOX,38.97,58.03
BRD,260.03,49.87
BRN,132.41,47.80
BRW,203.38,71.32
BRZ,24.75,56.21
BSL,270.36,30.35
BSV,139.21,-25.54
C01,276.10,42.42
C02,265.79,57.71
C03,248.89,58.77
C04,251.74,50.06
C05,264.54,52.03
C06,247.03,53.35
C07,233.31,65.26
C08,264.92,45.87
C09,264.71,54.93
C10,245.79,47.66
C11,263.64,48.03
C12,256.20,49.69
C13,239.97,51.88
CAN,149.36,-35.31
CBB,254.97,69.12
CBI,142.30,27.15
CCS,104.28,77.72
CDC,283.40,64.20
CDO,124.63,8.40
CDP,256.30,31.00
CEB,123.91,10.36
CER,289.40,-33.45
CGO,212.14,64.87
CHC,276.00,64.35
CHD,147.89,70.62
CKA,73.60,68.50
CKI,96.84,-12.19
CKT,145.25,-15.48
CLF,2.27,48.02
CLK,285.00,44.70
CMD,150.67,-34.06
CMO,212.14,64.87
CNB,150.70,-34.10
CNH,124.86,44.08
CNL,248.75,65.75
CPS,180.55,68.88
CPY,235.30,70.20
CRK,357.36,57.09
CRP,275.09,10.44
CST,11.65,46.05
CSY,110.53,-66.28
CTA,146.30,-20.10
CUL,149.58,-30.28
CWE,190.17,66.17
CY0,291.40,70.50
CYG,126.85,36.37
CZT,51.87,-46.43
DAL,151.20,-27.18
DAW,220.89,64.05
DED,211.21,70.36
DES,39.12,-6.46
DIK,80.70,73.53
DLR,259.08,29.49
DLT,108.48,11.94
DMC,235.83,-75.25
DMH,341.37,76.77
DNB,339.78,74.30
DOB,9.11,62.07
DON,12.50,66.11
DOU,4.60,50.10
DRB,30.56,-29.48
DRV,140.01,-66.67
DRW,130.90,-12.40
DSO,278.60,36.25
DUR,14.28,41.39
DVS,77.97,-68.58
E01,23.86,41.35
E02,21.97,39.45
E03,24.10,38.63
E04,23.93,38.08
E05,22.95,36.72
EAG,218.84,64.78
EBR,0.49,40.82
EDM,246.70,53.30
EKP,265.95,61.11
ELT,34.95,29.67
ENP,289.10,-52.13
ESA,141.36,39.24
ESC,301.08,-62.18
ESK,356.80,55.32
EUA,274.10,80.00
EUS,321.57,-3.88
EWA,202.00,21.32
EYR,172.40,-43.40
FAR,352.98,62.05
FCC,265.91,58.76
FHB,310.32,62.00
FIT,279.05,28.07
FMC,248.79,56.66
FRD,282.63,38.20
FRN,240.28,37.09
FSJ,238.15,56.25
FSP,238.77,61.76
FTN,237.20,58.90
FUR,11.28,48.17
FVE,243.98,58.37
FYM,35.50,29.18
FYU,214.78,66.56
G01,306.28,-29.72
GAK,214.87,62.39
GAN,73.15,0.69
GCK,20.77,44.63
GDH,306.47,69.25
GHB,308.27,64.17
GHC,264.15,68.63
GIM,265.36,56.38
GLN,262.88,49.65
GML,356.32,57.16
GNA,116.00,-31.80
GNG,115.71,-31.36
GRK,29.38,60.27
GSI,97.34,1.18
GTF,288.05,43.62
GUA,144.87,13.59
GUI,343.57,28.32
GZH,113.34,23.09
HAD,355.52,50.98
HAN,26.60,62.25
HBK,27.71,-25.88
HER,19.23,-34.43
HIS,58.05,80.62
HLL,339.44,63.77
HLM,210.13,61.24
HLN,121.55,23.90
HLP,18.82,54.61
HOB,147.35,-42.88
HOM,209.53,59.70
HON,202.00,21.32
HOP,25.01,76.51
HOR,15.60,77.00
HOV,353.20,61.50
HRB,18.19,47.86
HRN,15.60,77.00
HRP,275.30,49.20
HTY,139.80,33.12
HUA,284.67,-12.05
HVD,91.67,48.01
HYB,78.60,17.40
ICA,284.25,-14.08
IGC,278.20,69.30
ILR,4.68,8.50
INK,226.23,68.41
IPM,250.58,-27.20
IQA,291.48,63.75
IRT,104.45,52.17
ISK,29.06,41.07
ISL,265.34,53.86
IVA,27.29,68.56
IZN,29.73,40.50
JAI,75.80,26.92
JAN,351.30,70.90
JAX,278.40,30.35
JCK,16.98,66.40
JCO,211.20,70.36
JRS,281.70,0.00
JYP,140.70,2.51
KAG,130.72,31.48
KAK,140.18,36.23
KAR,5.24,59.21
KAT,117.62,-33.68
KAU,23.05,69.02
KAV,216.35,70.14
KDU,132.47,-12.69
KEP,323.51,-54.28
KEV,27.01,69.76
KGD,73.08,49.82
KHB,134.69,47.61
KIL,20.77,69.06
KIR,20.42,67.84
KIV,30.30,50.72
KLD,20.20,54.50
KMH,18.11,-26.54
KNY,130.88,31.42
KNZ,48.85,55.83
KOR,134.50,7.33
KOT,197.40,66.88
KOU,307.27,5.21
KPG,123.40,-10.20
KRT,13.02,33.37
KTB,100.32,-0.20
KTN,137.71,75.94
KUJ,131.23,33.06
KUV,302.82,74.57
KVI,17.63,59.50
LAG,3.27,6.48
LAN,357.23,54.01
LCL,252.90,51.00
LEK,13.54,68.13
LEM,147.50,-42.30
LER,358.82,60.13
LET,247.13,49.64
LGZ,123.74,13.10
LIV,299.61,-62.66
LKW,99.78,6.30
LMM,32.58,-25.92
LNN,30.70,59.95
LNP,121.17,25.00
LON,16.66,45.41
LOP,33.08,68.25
LOV,17.83,59.35
LOZ,35.02,67.97
LRM,115.00,-21.00
LRV,338.30,64.18
LSK,28.19,-15.23
LVV,23.75,49.90
LWA,104.06,-5.02
LYC,18.75,64.61
LYR,15.83,78.20
LZH,103.85,36.09
M01,263.55,46.87
M02,266.75,45.56
M03,264.40,43.60
M04,263.84,41.36
M05,263.70,38.50
M06,262.60,35.00
M07,263.25,32.98
M08,261.39,29.44
M09,262.20,26.40
M10,260.40,24.80
M11,256.90,20.70
MAB,5.68,50.30
MAS,23.70,69.46
MAW,62.88,-67.61
MBC,240.64,76.32
MBO,343.03,14.38
MCE,326.10,72.40
MCG,321.65,72.60
MCM,166.67,-77.85
MCN,322.38,73.93
MCQ,158.95,-54.50
MCR,313.71,66.48
MCW,317.41,72.00
MEA,246.65,54.62
MEK,30.97,62.77
MGD,150.86,59.97
MID,182.62,28.21
MIR,93.02,-66.55
MIZ,141.20,39.11
MLB,145.18,-38.36
MLT,30.89,29.52
MMB,144.19,43.91
MND,124.84,1.44
MNK,26.52,54.10
MOS,37.32,55.48
MSH,288.52,42.60
MSK,34.52,52.69
MSR,142.27,44.37
MUO,23.53,68.02
MUT,121.02,14.37
MZH,117.40,49.60
NAB,36.48,-1.16
NAL,11.95,78.92
NAN,298.30,56.40
NAQ,314.56,61.16
NCK,16.72,47.63
NEW,242.88,48.27
NGK,12.68,52.07
NKK,62.12,45.77
NMP,39.25,-15.09
NOK,88.10,69.40
NOR,25.79,71.09
NR2,24.65,60.50
NRD,343.33,81.60
NUR,24.65,60.50
NVL,11.83,-70.78
NVS,82.90,55.03
ODE,30.88,46.22
OHI,302.10,-63.32
ONW,141.47,38.43
ORC,315.26,-60.74
OSO,286.91,-40.34
OTT,284.45,45.40
OUJ,27.23,64.52
OUL,25.85,65.10
P01,16.66,45.41
PAC,289.91,-40.34
PAF,70.26,-49.35
PAG,24.18,47.49
PAL,295.95,-64.77
PBC,270.30,68.50
PBK,170.90,70.08
PBQ,282.26,55.28
PEG,23.90,38.10
PEL,24.08,66.90
PET,158.25,52.97
PG0,88.68,-83.67
PG1,77.20,-85.50
PG2,57.96,-84.42
PG3,37.63,-84.81
PG4,12.25,-83.34
PG5,5.71,-81.96
PGC,294.20,66.10
PHU,105.95,21.03
PIL,294.47,-31.40
PIN,263.96,50.20
PKR,212.57,65.12
PKS,252.80,52.50
PNL,303.83,-16.68
PNT,289.10,-53.20
PPI,131.73,42.98
PPT,210.42,-17.57
PRG,76.23,-69.23
PRP,119.40,-3.60
PST,302.11,-51.70
PTK,158.25,52.94
PTN,109.25,-0.05
PUT,290.50,-18.33
QSB,35.64,33.87
RAL,256.32,58.22
RAN,267.89,62.82
RED,246.16,52.14
RES,265.11,74.69
RIK,143.76,43.48
RNC,12.08,43.97
ROC,150.31,-23.19
ROE,8.55,55.17
ROT,245.87,51.07
RPB,273.77,66.52
RSV,12.45,55.85
RVK,10.99,64.94
S01,13.36,64.37
SAH,234.77,71.98
SAS,253.60,52.80
SBA,166.78,-77.85
SBH,116.07,6.02
SBL,299.99,43.93
SCN,100.30,-0.55
SCO,338.03,70.48
SER,288.87,-30.00
SFS,354.06,36.67
SHE,354.27,-15.95
SHU,199.54,55.35
SIT,224.67,57.06
SJG,293.85,18.11
SKT,307.10,65.42
SMA,334.87,36.99
SMI,248.07,60.03
SOD,26.63,67.37
SOL,4.84,61.08
SON,66.44,25.12
SOR,22.22,70.54
SPA,0.00,-90.00
SPG,29.72,60.54
SPT,355.65,39.55
STF,309.28,67.02
STJ,307.32,47.60
SUA,26.25,45.32
SUM,321.70,72.30
SUT,20.67,-32.40
SUW,23.18,54.01
SVS,294.90,76.02
SZC,19.61,52.91
T03,247.02,50.37
T15,275.31,46.48
T16,240.20,39.19
T17,287.87,44.95
T18,259.32,46.09
T19,245.33,47.61
T20,281.62,40.18
T21,257.41,43.08
T22,227.05,56.81
T23,274.86,43.66
T24,271.30,44.82
T25,241.07,45.14
T26,242.15,34.20
T27,242.32,34.38
T28,299.54,53.30
T29,291.60,58.10
T30,285.58,49.81
T31,280.80,56.50
T32,277.68,49.39
T33,259.06,53.99
T34,249.33,64.73
T35,249.14,63.60
T36,246.69,54.71
T37,237.17,53.81
T38,224.78,61.01
T39,209.58,62.24
T40,204.40,62.95
T41,199.56,66.97
T42,254.74,55.20
T43,245.70,50.87
T44,281.92,58.47
T45,282.24,55.28
T46,282.71,60.05
T47,284.35,62.20
T48,293.19,54.80
T49,293.73,50.22
T50,287.55,48.65
T51,282.22,48.05
T52,282.38,53.79
T53,281.85,60.82
T54,283.15,39.10
T55,208.74,60.55
T56,267.03,45.59
T57,255.39,38.25
T58,237.83,37.42
T59,207.60,57.79
T60,210.40,66.63
T61,284.56,37.88
T62,26.41,65.90
TAB,291.18,76.54
TAL,266.45,69.54
TAM,5.53,22.79
TAN,47.55,-18.92
TAR,26.46,58.26
TDC,347.69,-37.10
TEO,260.82,19.75
TGG,121.76,17.66
THL,290.77,77.47
THY,17.54,46.90
TIK,128.92,71.59
TIR,76.95,8.48
TKT,69.62,41.33
TLK,209.90,63.30
TND,124.95,1.29
TOL,355.95,39.88
TRO,18.94,69.66
TRP,150.24,62.67
TRW,294.68,-43.25
TSU,17.70,-19.22
TUC,249.27,32.17
TUL,264.22,35.92
TWN,146.82,-19.27
UMQ,307.87,70.68
UPN,303.85,72.78
UPS,17.35,59.90
USC,278.54,33.34
VAL,349.75,51.93
VIC,236.58,48.52
VIZ,76.54,79.30
VLD,286.86,-39.48
VLO,282.24,48.19
VNA,351.70,-70.70
VOS,106.87,-78.45
VRE,292.38,-17.28
VSS,316.35,-22.40
VYH,18.84,48.49
W01,147.21,-41.55
W02,167.97,-29.03
W03,141.30,-2.70
W04,111.53,-66.28
W05,77.96,-68.58
WAD,256.10,51.90
WEP,141.88,-12.68
WEW,143.62,-3.55
WHS,224.90,60.70
WIC,15.52,47.55
WMQ,87.71,43.81
WNG,9.07,53.75
WTK,112.63,-7.56
YAK,129.72,60.02
YAP,138.50,9.30
YKC,245.52,62.48
YMK,130.62,31.19
YOR,358.95,53.95
YSS,142.72,46.95
ZAG,20.58,50.28
ZGN,123.26,66.75
ZYK,150.78,65.75